as_of,name,tweet_volume
2020-11-03T19:05:01Z,Joe Biden,4126412
2020-11-03T19:05:01Z,Donald Trump,1202065
2020-11-03T20:06:05Z,Joe Biden,4122617
2020-11-03T21:07:27Z,Joe Biden,3857391
2020-11-03T22:08:31Z,Joe Biden,3074446
2020-11-03T23:09:36Z,Joe Biden,1237382
2020-11-04T00:10:41Z,Donald Trump,2543863
2020-11-04T01:11:45Z,Donald Trump,2001878
2020-11-04T01:11:45Z,Joe Biden,1152880
2020-11-04T01:11:45Z,Donald Trump,1177473
2020-11-04T02:12:49Z,Donald Trump,2168346
2020-11-04T02:12:49Z,Joe Biden,1883709
2020-11-04T02:12:49Z,Donald Trump,1235053
2020-11-04T03:13:55Z,Donald Trump,1263723
2020-11-04T04:15:01Z,Donald Trump,3731992
2020-11-04T04:15:01Z,Joe Biden,4493521
2020-11-04T05:16:04Z,Donald Trump,1873025
2020-11-04T05:16:04Z,Joe Biden,1251046
2020-11-04T05:16:04Z,Donald Trump,1337724
2020-11-04T06:17:06Z,Donald Trump,2765621
2020-11-04T06:17:06Z,Joe Biden,1745006
2020-11-04T06:17:06Z,Donald Trump,1402915
2020-11-04T07:18:06Z,Donald Trump,2348256
2020-11-04T07:18:06Z,Joe Biden,2209439
2020-11-04T08:19:09Z,Donald Trump,3033973
2020-11-04T08:19:09Z,Joe Biden,2507094
2020-11-04T08:19:09Z,Donald Trump,1553891
2020-11-04T09:20:10Z,Donald Trump,2989284
2020-11-04T10:21:12Z,Donald Trump,2908811
2020-11-04T10:21:12Z,Donald Trump,1628259
2020-11-04T11:22:15Z,Donald Trump,2717072
2020-11-04T11:22:15Z,Joe Biden,2182339
2020-11-04T11:22:15Z,Donald Trump,1639114
2020-11-04T12:23:18Z,Donald Trump,2584191
2020-11-04T13:24:23Z,Donald Trump,2100880
2020-11-04T14:25:28Z,Donald Trump,5347905
2020-11-04T15:26:33Z,Donald Trump,1649993
2020-11-04T16:27:38Z,Joe Biden,1898659
2020-11-04T17:28:45Z,Joe Biden,2386803
2020-11-05T04:40:43Z,Joe Biden,2385764
2020-11-06T05:06:14Z,Donald Trump,1343133
2020-11-06T06:07:15Z,Donald Trump,2645926
2020-11-06T06:07:15Z,Donald Trump,1374480
2020-11-06T08:09:17Z,Joe Biden,1456985
2020-11-07T17:44:54Z,Joe Biden,1898932
2020-11-07T17:44:54Z,Donald Trump,1555844
2020-11-07T18:46:04Z,Joe Biden,2218575
2020-11-07T18:46:04Z,Donald Trump,1217575
2020-11-07T19:47:13Z,Joe Biden,2967168
2020-11-07T19:47:13Z,Donald Trump,1511811
2020-11-07T20:48:22Z,Joe Biden,1920455
2020-11-07T20:48:22Z,Kamala Harris,1124807
2020-11-07T21:49:33Z,Joe Biden,2609262
2020-11-07T21:49:33Z,Kamala Harris,1199466
2020-11-07T21:49:33Z,Donald Trump,1298161
2020-11-07T22:50:43Z,Joe Biden,2616627
2020-11-07T22:50:43Z,Kamala Harris,1259560
2020-11-07T22:50:43Z,Donald Trump,1398600
2020-11-07T23:51:47Z,Joe Biden,1385671
2020-11-07T23:51:47Z,Kamala Harris,1693542
2020-11-07T23:51:47Z,Donald Trump,1222048
2020-11-08T00:52:49Z,Joe Biden,5272906
2020-11-08T00:52:49Z,Kamala Harris,1911081
2020-11-08T00:52:49Z,Donald Trump,1762854
2020-11-08T01:53:53Z,Joe Biden,2721451
2020-11-08T01:53:53Z,Kamala Harris,2072214
2020-11-08T01:53:53Z,Donald Trump,2071103
2020-11-08T02:54:57Z,Kamala Harris,1608212
2020-11-08T02:54:57Z,Donald Trump,2098797
2020-11-08T03:56:01Z,Joe Biden,2450180
2020-11-08T03:56:01Z,Kamala Harris,2314640
2020-11-08T04:57:05Z,Joe Biden,2692135
2020-11-08T04:57:05Z,Kamala Harris,1696592
2020-11-08T04:57:05Z,Donald Trump,2113974
2020-11-08T05:58:09Z,Joe Biden,2520121
2020-11-08T05:58:09Z,Kamala Harris,1726345
2020-11-08T05:58:09Z,Donald Trump,2120880
2020-11-08T06:59:10Z,Joe Biden,2442133
2020-11-08T06:59:10Z,Donald Trump,1880561
2020-11-08T06:59:10Z,Kamala Harris,1749921
2020-11-08T08:00:10Z,Joe Biden,2469177
2020-11-08T08:00:10Z,Kamala Harris,1769825
2020-11-08T08:00:10Z,Donald Trump,2655513
2020-11-08T09:01:12Z,Joe Biden,2462836
2020-11-08T09:01:12Z,Kamala Harris,1787655
2020-11-08T10:02:14Z,Joe Biden,1228168
2020-11-08T10:02:14Z,Kamala Harris,1805523
2020-11-08T11:03:16Z,Kamala Harris,1823974
2020-11-08T11:03:16Z,Donald Trump,7928190
2020-11-08T12:04:18Z,Kamala Harris,1842606
2020-11-08T13:05:20Z,Kamala Harris,1862746
2020-11-15T07:58:23Z,Donald Trump,4653631
2020-11-24T04:24:23Z,Joe Biden,1152787
